hora,hS,hE,hI,hR,vS,vI,mosq_total
2080,139725,69,126,80,454517,390,454907
2084,139725,68,127,80,451868,391,452259
2088,139727,67,128,78,450779,385,451164
2092,139726,70,125,79,450535,383,450918
2096,139725,69,126,80,450409,370,450779
2100,139725,69,127,79,453177,343,453520
2104,139725,69,127,79,454587,343,454930
2108,139726,69,128,77,451967,348,452315
2112,139727,70,126,77,450608,346,450954
2116,139725,71,129,75,450469,346,450815
2120,139726,67,131,76,450494,323,450817
2124,139726,67,131,76,453100,313,453413
2128,139726,67,131,76,454622,313,454935
2132,139727,64,132,77,452011,324,452335
2136,139727,63,130,80,450904,318,451222
2140,139728,65,129,78,450459,331,450790
2144,139727,66,130,77,450518,343,450861
2148,139726,67,130,77,453123,340,453463
2152,139726,67,130,77,454572,340,454912
2156,139726,64,133,77,451967,358,452325
2160,139726,61,137,76,450672,359,451031
2164,139728,63,137,72,450499,376,450875
2168,139727,65,137,71,450461,368,450829
2172,139726,66,136,72,453151,366,453517
2176,139726,66,136,72,454557,366,454923
2180,139728,67,136,69,451930,376,452306
2184,139730,67,136,67,450559,398,450957
2188,139729,69,133,69,450343,395,450738
2192,139727,71,130,72,450479,396,450875
2196,139724,74,129,73,453160,381,453541
2200,139724,74,129,73,454554,381,454935
2204,139727,72,128,73,451954,390,452344
2208,139724,74,124,78,450602,405,451007
2212,139725,75,119,81,450435,400,450835
2216,139724,75,123,78,450435,392,450827
2220,139723,76,123,78,453081,383,453464
2224,139723,76,123,78,454541,383,454924
2228,139721,77,122,80,452010,397,452407
2232,139719,79,121,81,450805,378,451183
2236,139718,82,119,81,450520,365,450885
2240,139720,82,118,80,450529,358,450887
2244,139720,84,118,78,453194,341,453535
2248,139720,84,118,78,454580,341,454921
2252,139720,83,117,80,452001,360,452361
2256,139725,82,116,77,450766,350,451116
2260,139724,83,118,75,450577,343,450920
2264,139720,85,119,76,450451,346,450797
2268,139720,84,118,78,453070,348,453418
2272,139720,84,118,78,454600,348,454948
2276,139721,81,120,78,451979,351,452330
2280,139719,84,118,79,450789,356,451145
2284,139719,82,119,80,450585,362,450947
2288,139718,83,119,80,450317,370,450687
2292,139721,81,119,79,453019,365,453384
